name,socket,form_factor
ASRock B650 PG LIGHTNING,AM5,ATX
Gigabyte Z690 UD DDR4,LGA1700,ATX
ASRock B450 Steel Legend,AM4,ATX
MSI Z390-A PRO,LGA1151,ATX
MSI MPG B650 CARBON WIFI,AM5,ATX
Asus PRIME Z690-A,LGA1700,ATX
Asus TUF GAMING B550-PLUS,AM4,ATX
Asus ROG STRIX B650E-E GAMING WIFI,AM5,ATX
ASRock X570 Phantom Gaming 4,AM4,ATX
MSI PRO B550-VC,AM4,ATX
Gigabyte Z790 UD AC,LGA1700,ATX
Asus ROG STRIX Z790-A GAMING WIFI D4,LGA1700,ATX
Asus ROG STRIX Z790-F GAMING WIFI,LGA1700,ATX
Asus ROG STRIX Z390-E GAMING,LGA1151,ATX
Gigabyte Z690 UD AX DDR4,LGA1700,ATX
Asus ROG STRIX Z690-F GAMING WIFI,LGA1700,ATX
Asus ROG STRIX Z590-E GAMING WIFI,LGA1200,ATX
MSI B450 TOMAHAWK,AM4,ATX
ASRock X570 Steel Legend WiFi ax,AM4,ATX
MSI MPG Z690 CARBON WIFI,LGA1700,ATX
Asus PRIME X670-P,AM5,ATX
Asus TUF GAMING Z690-PLUS WIFI,LGA1700,ATX
MSI MEG X670E ACE,AM5,EATX
ASRock B760 Pro RS,LGA1700,ATX
MSI PRO Z690-A DDR4,LGA1700,ATX
ASRock X670E Taichi,AM5,EATX
Asus PRIME B450-PLUS,AM4,ATX
Gigabyte B650 AORUS PRO AX,AM5,ATX
ASRock Z690 STEEL LEGEND/D5,LGA1700,ATX
ASRock Z590 Extreme WiFi 6E,LGA1200,ATX
Asus ROG STRIX X570-E GAMING WIFI II,AM4,ATX
Asus PRIME Z390-P,LGA1151,ATX
Asus ROG STRIX B550-F GAMING (WI-FI),AM4,ATX
MSI Z490-A PRO,LGA1200,ATX
Asus PRIME X570-PRO,AM4,ATX
Asus ROG MAXIMUS Z790 APEX,LGA1700,ATX
MSI MEG Z790 ACE,LGA1700,EATX
Gigabyte Z390 AORUS PRO WIFI,LGA1151,ATX
Asus TUF GAMING B660-PLUS WIFI D4,LGA1700,ATX
Gigabyte X570S AORUS MASTER,AM4,ATX
ASRock X670E Pro RS,AM5,ATX
Asus PRIME X670-P WIFI,AM5,ATX
Asus ROG STRIX B760-F GAMING WIFI,LGA1700,ATX
ASRock Z790 Steel Legend WiFi,LGA1700,ATX
Asus TUF GAMING B550-PRO,AM4,ATX
Asus TUF GAMING B760-PLUS WIFI D4,LGA1700,ATX
Gigabyte A520 AORUS ELITE,AM4,ATX
Asus PRIME X570-P,AM4,ATX
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),AM4,ATX
MSI MPG X570S CARBON MAX WIFI,AM4,ATX
ASRock X670E Taichi Carrara,AM5,EATX
Gigabyte B760 GAMING X DDR4,LGA1700,ATX
MSI PRO B660-A DDR4,LGA1700,ATX
Asus ROG Crosshair VIII Hero (WI-FI),AM4,ATX
Gigabyte Z790 AORUS XTREME,LGA1700,EATX
MSI MPG X570 GAMING PLUS,AM4,ATX
Asus Z170-A,LGA1151,ATX
MSI MPG Z790 EDGE WIFI DDR4,LGA1700,ATX
ASRock Z790 Pro RS,LGA1700,ATX
MSI MPG X570 GAMING EDGE WIFI,AM4,ATX
ASRock H670 PG Riptide,LGA1700,ATX
Asus ROG MAXIMUS Z790 EXTREME,LGA1700,EATX
ASRock B450 Pro4 R2.0,AM4,ATX
Asus TUF GAMING B650-PLUS,AM5,ATX
MSI MPG Z690 FORCE WIFI,LGA1700,ATX
Gigabyte B650 AERO G,AM5,ATX
Asus ROG Strix X570-E Gaming,AM4,ATX
Asus Prime Z590-P WiFi,LGA1200,ATX
Asus ROG STRIX B450-F GAMING II,AM4,ATX
Asus TUF GAMING B450-PLUS II,AM4,ATX
Gigabyte Z690 GAMING X DDR4,LGA1700,ATX
ASRock B650E STEEL LEGEND WIFI,AM5,ATX
Asus ROG MAXIMUS Z690 HERO,LGA1700,ATX
Gigabyte X670E AORUS XTREME (rev. 1.0),AM5,EATX
Asus ROG MAXIMUS Z690 FORMULA,LGA1700,ATX
Gigabyte Z790 AORUS ELITE AX DDR4,LGA1700,ATX
Asus ROG MAXIMUS Z690 APEX,LGA1700,ATX
ASRock B550 Steel Legend,AM4,ATX
Gigabyte B760 DS3H AC DDR4,LGA1700,ATX
MSI Z97-GAMING 5,LGA1150,ATX
Asus STRIX B350-F GAMING,AM4,ATX
ASRock Z790 PG Lightning/D4,LGA1700,ATX
Gigabyte X570 AORUS ELITE,AM4,ATX
Asus PRIME Z690-P D4,LGA1700,ATX
ASRock Z690 Pro RS,LGA1700,ATX
Gigabyte B550 VISION D-P,AM4,ATX
Asus ROG STRIX Z690-A GAMING WIFI,LGA1700,ATX
ASRock Z690 Phantom Gaming 4,LGA1700,ATX
ASRock Z590 Steel Legend,LGA1200,ATX
Asus ROG STRIX Z490-E GAMING,LGA1200,ATX
ASRock Z690 Steel Legend,LGA1700,ATX
Asus ROG STRIX B760-A GAMING WIFI,LGA1700,ATX
ASRock B550 PG Velocita,AM4,ATX
MSI Z370-A PRO,LGA1151,ATX
Asus ROG MAXIMUS Z690 EXTREME,LGA1700,EATX
MSI B450 TOMAHAWK MAX II,AM4,ATX
MSI MPG B550 GAMING EDGE WIFI,AM4,ATX
ASRock X570 Pro4,AM4,ATX
Asus TUF GAMING H670-PRO WIFI D4,LGA1700,ATX
Gigabyte B450 AORUS ELITE,AM4,ATX
Asus Prime X470-Pro,AM4,ATX
Gigabyte Z590 VISION G,LGA1200,ATX
ASRock X570 Taichi,AM4,ATX
MSI B450-A PRO MAX,AM4,ATX
Gigabyte B650E AORUS MASTER,AM5,ATX
MSI MPG Z390 GAMING EDGE AC,LGA1151,ATX
MSI PRO B760-P WIFI,LGA1700,ATX
Gigabyte X670 GAMING X AX (rev. 1.0),AM5,ATX
Asus PRIME Z270-A,LGA1151,ATX
MSI MAG X570 TOMAHAWK WIFI,AM4,ATX
Asus TUF GAMING X570-PLUS,AM4,ATX
Gigabyte B660 DS3H AX DDR4,LGA1700,ATX
Asus TUF GAMING B760-PLUS WIFI,LGA1700,ATX
Gigabyte X570 AORUS ELITE WIFI,AM4,ATX
MSI MPG Z390 GAMING PLUS,LGA1151,ATX
ASRock B550 Extreme4,AM4,ATX
ASRock Z590 Pro4,LGA1200,ATX
Asus TUF GAMING X670E-PLUS,AM5,ATX
MSI X570-A PRO,AM4,ATX
Gigabyte Z690 AERO G DDR4,LGA1700,ATX
Asus ROG MAXIMUS XI HERO (WI-FI),LGA1151,ATX
MSI X470 GAMING PLUS MAX,AM4,ATX
ASRock B660 Pro RS,LGA1700,ATX
Asus PRIME H770-PLUS D4,LGA1700,ATX
MSI B650 GAMING PLUS WIFI,AM5,ATX
MSI PRO Z790-A WIFI DDR4,LGA1700,ATX
Gigabyte Z390 UD,LGA1151,ATX
Asus PRIME Z590-P,LGA1200,ATX
ASRock Z790 PG SONIC,LGA1700,ATX
Gigabyte Z790 D DDR4,LGA1700,ATX
ASRock Z77 Extreme4,LGA1155,ATX
ASRock B450 Pro4,AM4,ATX
Asus ROG Strix X570-F Gaming,AM4,ATX
Asus PROART B650-CREATOR,AM5,ATX
Asus Strix B550-XE Gaming WiFi,AM4,ATX
Gigabyte X570S AERO G,AM4,ATX
Gigabyte B550 AORUS PRO AC,AM4,ATX
ASRock Z690 Steel Legend WiFi 6E,LGA1700,ATX
Gigabyte B760 GAMING X,LGA1700,ATX
Gigabyte B550 AORUS PRO V2,AM4,ATX
MSI PRO Z690-A,LGA1700,ATX
Asus Prime Z370-A,LGA1151,ATX
MSI Z590-A PRO,LGA1200,ATX
ASRock B650E TAICHI,AM5,EATX
Asus PRIME Z590-A,LGA1200,ATX
ASRock Z790 Pro RS/D4,LGA1700,ATX
Asus ROG Crosshair VIII Hero,AM4,ATX
Gigabyte Z690 AERO G,LGA1700,ATX
ASRock Z690 Extreme WiFi 6E,LGA1700,ATX
Gigabyte B550 AORUS MASTER,AM4,ATX
Gigabyte B660 GAMING X AX DDR4,LGA1700,ATX
Gigabyte B760 DS3H AX DDR4,LGA1700,ATX
ASRock Z790 Taichi Carrara,LGA1700,EATX
MSI MPG Z590 GAMING PLUS,LGA1200,ATX
Asus ROG STRIX Z370-E GAMING,LGA1151,ATX
MSI B450 GAMING PRO CARBON AC,AM4,ATX
ASRock X570 PG Velocita,AM4,ATX
Gigabyte Z690 AORUS MASTER,LGA1700,EATX
ASRock B550 Taichi,AM4,ATX
Gigabyte Z790 AORUS ELITE AX-W,LGA1700,ATX
ASRock B650 LiveMixer,AM5,ATX
MSI B350 TOMAHAWK,AM4,ATX
Asus ROG Crosshair VIII Extreme,AM4,EATX
ASRock Z790 Taichi,LGA1700,EATX
Asus ROG STRIX B550-E GAMING,AM4,ATX
Asus ROG STRIX B660-F GAMING WIFI,LGA1700,ATX
Gigabyte B550 AORUS ELITE,AM4,ATX
MSI MPG Z690 EDGE WIFI,LGA1700,ATX
Gigabyte X570S UD,AM4,ATX
ASRock Z590 Extreme,LGA1200,ATX
MSI MPG Z390 GAMING PRO CARBON,LGA1151,ATX
Gigabyte B660 DS3H DDR4,LGA1700,ATX
ASRock B760 Pro RS/D4,LGA1700,ATX
Asus Z170 PRO GAMING,LGA1151,ATX
Gigabyte GA-AB350-GAMING 3,AM4,ATX
MSI Z270 GAMING PRO CARBON,LGA1151,ATX
MSI MAG B560 TOMAHAWK WIFI,LGA1200,ATX
MSI MPG X570 GAMING PRO CARBON WIFI,AM4,ATX
MSI MEG Z690 UNIFY,LGA1700,ATX
Gigabyte Z790 UD,LGA1700,ATX
MSI X470 GAMING PLUS,AM4,ATX
Asus ROG MAXIMUS XIII HERO,LGA1200,ATX
Gigabyte X570 AORUS MASTER,AM4,ATX
Asus ROG STRIX X470-F Gaming,AM4,ATX
Asus STRIX Z270-E GAMING,LGA1151,ATX
Gigabyte Z690 AORUS ULTRA,LGA1700,ATX
ASRock Z690 PG Riptide,LGA1700,ATX
ASRock Fatal1ty H370 Performance,LGA1151,ATX
Asus TUF GAMING X570-PRO (WI-FI),AM4,ATX
Gigabyte Z590 AORUS ULTRA,LGA1200,ATX
MSI MEG Z590 UNIFY,LGA1200,ATX
MSI Z590 PRO WIFI,LGA1200,ATX
Asus ROG Strix X299-E Gaming II,LGA2066,ATX
Asus PRIME B350-PLUS,AM4,ATX
