CPU,Socket,Benchmark
Intel Core i5-11600T @ 1.70GHz,FCLGA1200,14447
Intel Core i5-6600 @ 3.30GHz,LGA 1151,6053
Intel Core i5-6600K @ 3.50GHz,FCLGA1151,6303
Intel Core i5-7500 @ 3.40GHz,LGA1151,6028
Intel Core i5-7600 @ 3.50GHz,FCLGA1151,6558
Intel Core i5-7600K @ 3.80GHz,FCLGA1151,6803
Intel Core i5-7640X @ 4.00GHz,FCLGA2066,7060
Intel Core i7-10700 @ 2.90GHz,FCLGA1200,16149
Intel Core i7-10700F @ 2.90GHz,FCLGA1200,16198
Intel Core i7-10700K @ 3.80GHz,FCLGA1200,18587
Intel Core i7-10700T @ 2.00GHz,FCLGA1200,12874
Intel Core i7-3770 @ 3.40GHz,LGA1155,6416
Intel Core i7-3770K @ 3.50GHz,LGA1155,6490
Intel Core i7-3930K @ 3.20GHz,LGA2011,8202
Intel Core i7-3960X @ 3.30GHz,LGA2011,8400
Intel Core i7-3970X @ 3.50GHz,LGA2011,8588
Intel Core i7-4770 @ 3.40GHz,LGA1150,7052
Intel Core i7-4770K @ 3.50GHz,LGA1150,7139
Intel Core i7-4771 @ 3.50GHz,LGA1150,7142
Intel Core i7-4790 @ 3.60GHz,FCLGA1150,7265
Intel Core i7-4790K @ 4.00GHz,LGA1150,8061
Intel Core i7-4790T @ 2.70GHz,LGA1150,6303
Intel Core i7-4820K @ 3.70GHz,FCLGA2011,6513
Intel Core i7-4930K @ 3.40GHz,LGA2011,9386
Intel Core i7-4960X @ 3.60GHz,LGA2011,9945
Intel Core i7-5775R @ 3.30GHz,LGA1150,7580
Intel Core i7-5820K @ 3.30GHz,LGA2011-v3,9819
Intel Core i7-5930K @ 3.50GHz,LGA2011-v3,10342
Intel Core i7-5960X @ 3.00GHz,LGA2011-v3,13441
Intel Core i7-6700 @ 3.40GHz,LGA 1151,8051
Intel Core i7-6700K @ 4.00GHz,LGA1151,8925
Intel Core i7-6700T @ 2.80GHz,LGA 1151,7002
Intel Core i7-6800K @ 3.40GHz,LGA2011-v3,10711
Intel Core i7-6850K @ 3.60GHz,FCLGA2011-3,11419
Intel Core i7-6900K @ 3.20GHz,FCLGA2011-3,14582
Intel Core i7-6950X @ 3.00GHz,LGA2011-v3,17677
Intel Core i7-7700 @ 3.60GHz,LGA1151,8634
Intel Core i7-7700K @ 4.20GHz,LGA 1151,9620
Intel Core i7-7700T @ 2.90GHz,FCLGA1151,7556
Intel Core i7-7740X @ 4.30GHz,FCLGA2066,9658
Intel Core i7-7800X @ 3.50GHz,FCLGA2066,12976
Intel Core i7-7820X @ 3.60GHz,FCLGA2066,17165
Intel Core i7-7900X @ 3.30GHz,FCLGA2066,20039
Intel Core i7-970 @ 3.20GHz,LGA1366,6535
Intel Core i7-980 @ 3.33GHz,LGA1366,6859
Intel Core i7-9800X @ 3.80GHz,FCLGA2066,18094
Intel Core i7-980X @ 3.33GHz,LGA1366,6843
Intel Core i7-990X @ 3.47GHz,LGA1366,7116
Intel Core i9-10850K @ 3.60GHz,FCLGA1200,21999
Intel Core i9-10900 @ 2.80GHz,FCLGA1200,19278
Intel Core i9-10900F @ 2.80GHz,FCLGA1200,19792
Intel Core i9-10900K @ 3.70GHz,FCLGA1200,22427
Intel Core i9-10900T @ 1.90GHz,FCLGA1200,14714
Intel Core i9-10900X @ 3.70GHz,FCLGA2066,22366
Intel Core i9-10910 @ 3.60GHz,FCLGA1200,21384
Intel Core i9-10920X @ 3.50GHz,FCLGA2066,25933
Intel Core i9-10940X @ 3.30GHz,FCLGA2066,27773
Intel Core i9-10980XE @ 3.00GHz,FCLGA2066,32428
Intel Core i9-11900 @ 2.50GHz,FCLGA1200,22497
Intel Core i9-11900F @ 2.50GHz,FCLGA1200,22092
Intel Core i9-11900K @ 3.50GHz,FCLGA1200,25009
Intel Core i9-11900T @ 1.50GHz,FCLGA1200,18461
Intel Core i9-7900X @ 3.30GHz,FCLGA2066,20946
Intel Core i9-7920X @ 2.90GHz,FCLGA2066,23564
Intel Core i9-7940X @ 3.10GHz,FCLGA2066,25631
Intel Core i9-7960X @ 2.80GHz,FCLGA2066,28122
Intel Core i9-7980XE @ 2.60GHz,FCLGA2066,29742
Intel Core i9-9820X @ 3.30GHz,FCLGA2066,20433
Intel Core i9-9900B @ 3.10GHz,FCLGA1151,15893
Intel Core i9-9900X @ 3.50GHz,FCLGA2066,21618
Intel Core i9-9920X @ 3.50GHz,FCLGA2066,24935
Intel Core i9-9940X @ 3.30GHz,FCLGA2066,28124
Intel Core i9-9960X @ 3.10GHz,FCLGA2066,29914
Intel Core i9-9980XE @ 3.00GHz,FCLGA2066,31484
Intel Core i9-9990XE @ 4.00GHz,LGA2066,30162
